Sno	Plant name	Plant Part	Plant Subpart	Therapeutic use	UMLS identifier	MeSH identifier	ICD11 identifier	Reference
326	Curcuma angustifolia	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-343, RIMP
327	Curcuma angustifolia	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-8, P-343, RIMP
328	Curcuma aromatica	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-345, RIMP
329	Curcuma aromatica	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-8, P-345, RIMP
330	Curcuma caesia	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-346, RIMP
331	Curcuma caesia	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-8, P-346, RIMP
332	Curcuma longa	leaf	leaf	Anti-Inflammatory Agents	C0003209	D000893		Vol-8, P-348, RIMP
333	Curcuma longa	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-364, RIMP
334	Curcuma longa	leaf	leaf	Bactericidal activity	C0544570			Vol-8, P-365, RIMP
335	Curcuma longa	rhizome	rhizome	Bactericidal activity	C0544570			Vol-8, P-365, RIMP
336	Curcuma longa	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-366, RIMP
337	Curcuma longa	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-8, P-367, RIMP
338	Curcuma longa	leaf	leaf	Fungicide	C1321381		XM83G4	Vol-8, P-368, RIMP
339	Curcuma longa	rhizome	rhizome	Fungicide	C1321381		XM83G4	Vol-8, P-368, RIMP
340	Curcuma zedoaria	rhizome	rhizome	Carminative			XM5TC9	Vol-8, P-372, RIMP
341	Curcuma zedoaria	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-373, RIMP
342	Curcuma zedoaria	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-8, P-374, RIMP
343	Curcuma zedoaria	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-8, P-374, RIMP
344	Cymbopogon citratus	leaf	leaf	Cytotoxin	C0010868	D003603		Vol-8, P-565, RIMP
345	Cymbopogon citratus	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-565, RIMP
