Sno	Plant name	Plant Part	Plant Subpart	Odor	Color	Reference
234	Lantana indica	leaf	leaf		Pale yellow	https://doi.org/10.1080/10412905.2006.9699181
235	Athanasia linifolia	aerial part	aerial part		blue	https://doi.org/10.1080/10412905.1993.9698290
236	Hedychium flavescens	rhizome	rhizome	pleasant	Colourless	https://doi.org/10.1080/10412905.2007.9699237
237	Hedychium spicatum	rhizome	rhizome	pleasant	Pale yellow	https://doi.org/10.1080/10412905.2007.9699237
238	Eucalyptus pellita	leaf	leaf		Colourless	https://doi.org/10.1080/10412905.1990.9697846
239	Malus domestica	leaf	leaf		Light Pale	https://doi.org/10.1155/2012/649727
240	Curcuma caesia	rhizome	rhizome		Violet	https://doi.org/10.1016/j.indcrop.2014.06.028
241	Curcuma zedoaria	rhizome	rhizome		Brownish violet	https://doi.org/10.1016/j.indcrop.2014.06.028
242	Curcuma zedoaria	rhizome	rhizome		Colourless	https://doi.org/10.1016/j.indcrop.2014.06.028
243	Etlingera elatior	rhizome	rhizome	spices	Light yellow	https://doi.org/10.1080/10412905.2010.9700297
244	Artemisia roxburghiana	aerial part	aerial part		Brownish yellow	https://doi.org/10.1080/10412905.2009.9700177
245	Nyctanthes arbor-tristis	leaf	leaf		Light yellow	https://doi.org/10.1080/0972060X.2020.1759458
246	Eucalyptus tereticornis	leaf	leaf		Yellow	https://doi.org/10.1080/17429145.2010.539709
247	Isodon melissoides	mixed	inflorescence, leaves and seeds		Yellow brown	https://doi.org/10.1080/10412905.2005.9698957
248	Tetrataenium rigens	seed	seed	pleasant, aromatic	Pale yellow	https://doi.org/10.1177/1934578X1200700737
249	Dracocephalum nutans	aerial part	aerial part		Pale yellow	https://doi.org/10.1055/s-2006-962380
250	Chloroxylon swietenia	leaf	leaf		Pale yellow	https://doi.org/10.1007/s00436-007-0485-z
251	Chloroxylon swietenia	leaf	leaf		Pale yellow	https://doi.org/10.1007/s11274-008-9693-7
252	Chloroxylon swietenia	stem	stem		Pale yellow	https://doi.org/10.1007/s11274-008-9693-7
253	Myrica esculenta	bark	stem bark	strong	Pale yellow	https://doi.org/10.1080/14786419.2011.652959
254	Hellenia speciosa	rhizome	rhizome		Yellow	https://ijpras.com/article/rhizome-essential-oil-composition-of-costus-speciosus-and-its-antimicrobial-properties
